name|description|author|url
Sound effects|Last spring, the BBC published an archive of 16,000+ sound effects, licensed for personal, educational or research purposes.|BBC|http://bbcsfx.acropolis.org.uk/
Fiscal crises|"Researchers at the International Monetary Fund have built a historical database of fiscal crises, defined as “periods of extreme fiscal distress, when governments have not been able to contain large fiscal imbalances leading to the adoption of extreme measures"""|International Monetary Fund|https://www.imf.org/en/Publications/WP/Issues/2017/04/03/Fiscal-Crises-44795
Dual citizenship policies|If you decide to acquire a new citizenship, do you get to keep your previous one? Are you allowed to renounce it? The Maastricht Center for Citizenship, Migration and Development’s Global Expatriate Dual Citizenship Dataset tracks how 200 countries have, each year since 1960, treated this situation.|Maastricht University|https://macimide.maastrichtuniversity.nl/dual-cit-database/
From Spanskgrøn to Østerland|Norse World is an “online, open access searchable index and mapping of the foreign place names found in medieval East Norse texts.”|Uppsala Niversitet|https://www.uu.se/en/research/infrastructure/norseworld/
Cities CO2 emissions|An international team of researchers has created a dataset of 343 cities’ CO2 emissions.|Pangaea|https://doi.pangaea.de/10.1594/PANGAEA.884141
Cabinet turnover|Dataset of the last seven presidents cabinets|FiveThirtyEight|https://fivethirtyeight.com/features/two-years-in-turnover-in-trumps-cabinet-is-still-historically-high/
DC taxi rides|Taxi trip data from 2015 to 2017 in DC|Open Data DC|https://opendata.dc.gov/search?q=taxicabs
Political conditions|Dataset describes political conditions in every country each and every month.|OEF Research|https://oefresearch.org/datasets/reign
Protests in autocracies|Political protests in autocratic countries|Nils B. Weidmann|https://mmadatabase.org/
Public pension plans|Detailed financial data on state and local public pension plans from Boston.|PPD|https://publicplansdata.org/public-plans-database/
Bird-building collisions|To study the relationship between artificial light and “flight calling” among nocturnally-migrating species.|DRYAD|https://datadryad.org/stash/dataset/doi:10.5061/dryad.8rr0498
Autocracies|Dataset from nearly 500 parties in more than 150 countries between 1940 and 2015|Michael K. Miller|https://sites.google.com/site/mkmtwo/data
Biomedical citations|420 million academic citations in biomedical literature|The National Institutes of Health|https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000385
Adoptable dogs|All adoptable dogs at shelters and organizations on a single day in September 2019|The Pudding|https://pudding.cool/author/amber-thomas/
Charts and minds|The Data Visualization Society has published the results of its annual community survey, which received 1,359 responses from data visualization practitioners.|Data Visualization Society|https://github.com/data-visualization-society/data_visualization_survey
Millions of violent crimes|Raw data on 4.3 million murders, nonfatal shootnigs, assaults, robberies, and rapes.|The Trace and Buzzfeed News|https://www.thetrace.org/violent-crime-data/
Online news language, updated live|The dataset keeps track the frequency individual words and two-word in online news around the world.|The GDELT Project|https://www.gdeltproject.org/
Interwar debt.|A “comprehensive instrument-level database of sovereign debt for 18 advanced and emerging countries over the period 1913–46.”|International Monetary Fund|https://www.imf.org/en/Publications/WP/Issues/2019/10/25/Instruments-of-Debtstruction-A-New-Database-of-Interwar-Debt-48689
Food flows|Commodity flow food survey|USA Census Bureau|https://www.census.gov/programs-surveys/cfs.html
Perceived vs. real ages.|Dataset of photographs used to guess people ages|AgeGuess.org|https://www.ageguess.org/download
Chicago prosecutions|Detailed data on every felony case since 2010 in Cook County|Cook County State Attorney Office|https://www.cookcountystatesattorney.org/about/case-level-data
Electricity prices|Dataset with commercial, industrial, and street-lighting electricity from thousands of US utility companies.|OpenEI|https://openei.org/wiki/Utility_Rate_Database
Financial well-being|Survey of Income and Program Participation|USA Census Bureau|https://www.census.gov/programs-surveys/sipp/data/datasets.html
Football(soccer)  play-by-play|Largest collection of soccer-logs.|Unknown (group of academics)|https://figshare.com/collections/Soccer_match_event_dataset/4415000
Central Park squirrels|Dataset with each squirrel location, fur color, behavior, and more in Central Park.|Squirrel Census|https://www.thesquirrelcensus.com/
UN blue helmet|The United Nations publishes data describing its active peacekeeping missions and police and military personnel, plus all peacekeeping fatalities since 1948.|United Nations|https://peacekeeping.un.org/en/open-data-portal
Earthquakes in Mexico|Catalog with more than 5000 eartquakes in Mexico|Springer Nature|https://springernature.figshare.com/collections/An_updated_and_unified_earthquake_catalog_1787-2018_for_seismic_hazard_assessment_studies_in_Mexico/4492763/1
Seized Greek real estate|Collected data on properties up for bidding through eauction.gr .|Sotiris Sideris|https://github.com/2109Sot/eauction_data
Bollywood|The Indian Movie Database with more than 4700 movies released between 1950 and 2019.|Parth Parikh|https://github.com/pncnmnp/TIMDB/
The kids these days — and four decades ago|Monitoring the Future surveys approximately 50,000 eighth-, tenth-, and twelfth-grade students in the U.S. each year.|NAHDAP|https://www.icpsr.umich.edu/icpsrweb/NAHDAP/series/35?start=0&SERIESQ=35&ARCHIVE=NAHDAP&sort=DATEUPDATED%20desc&rows=50
FiveThirtyEight checks its work|Thousands of FiveThirtyEights predictions about sports and politics(and their outcomes).|FiveThirtyEight|https://github.com/fivethirtyeight/checking-our-work-data
Euro-bank speeches|ECB has begun publishing a spreadsheet of all executive board members speeches since the late 1990s.|ECB|https://www.ecb.europa.eu/press/key/html/downloads.en.html
Medieval monasteries|Dataset that describes the locations and operating years of more than 3000 Cistercian and Franciscan monasteries in 90 european regions between the years 1000 and 1600.|Serra Boranbay-Akan and Carmine Guerriero|https://www.sciencedirect.com/science/article/pii/S2352340919310868
Income inequality around the world, over time|Annual Gini coefficients for 196 countries and territories. For many, the calculations go back to the 1960s.|Frederick Solt|https://fsolt.org/swiid/
Ambassadorial qualifications|"Report on the demonstrated ""competence"" for each ambassadorial nominee that the government held secret."|Ryan Scoville|https://ryanscoville.com/2019/02/13/certificates-of-competency-for-nominees-to-be-chiefs-of-mission-1980-2014/
Samoas measles outbreak|Dataset with a collections of tweets that counts the number of cases and deaths because of measles.|Chris von Csefalvay|https://github.com/chrisvoncsefalvay/samoa-measles-2019
British Isle bumps| The Database of British and Irish Hills began 20 years ago and now catalogs more than 20,000 bits of bumpy terrain. The data files include detailed coordinates, map references, and descriptive characteristics.|The Database of British and Irish Hills|http://www.hills-database.co.uk/downloads.html
Death row|Comprehensive dataset on everyone sentenced to die in active death penalty jurisdictions since 1976.|The Intercept|https://github.com/firstlookmedia/the-condemned-data
